"Yr","Seas","Bio_smry_2005","Recruit_0_2005","Bio_smry_2009","Recruit_0_2009","Bio_smry_2011","Recruit_0_2011","Bio_smry_2013","Recruit_0_2013","Bio_smry_2015","Recruit_0_2015","Bio_smry_2019","Recruit_0_2019"
1874,1,NA,NA,39211.2,0,41351.7,16511.5,50132,16671.7,53261.1,15482.5,54051.5,19645.9
1874,2,NA,NA,39125.1,13604.4,NA,NA,NA,NA,NA,NA,NA,NA
1875,1,NA,NA,39211.2,0,41351.7,16511.5,50132,16671.7,53261.1,15482.5,54051.5,19645.9
1875,2,NA,NA,39125.1,13604.4,NA,NA,NA,NA,NA,NA,NA,NA
1876,1,NA,NA,39211.2,0,41351.7,16511.5,50132.7,16672.6,53261.5,15483.1,54051.8,19646.3
1876,2,NA,NA,39125.1,13604.4,NA,NA,NA,NA,NA,NA,NA,NA
1877,1,NA,NA,39210.2,0,41350.7,16511.5,50131.8,16672.7,53260.6,15483.2,54050.8,19646.3
1877,2,NA,NA,39124.2,13604.4,NA,NA,NA,NA,NA,NA,NA,NA
1878,1,NA,NA,39209.3,0,41349.8,16511.5,50131,16672.9,53259.7,15483.2,54049.9,19646.3
1878,2,NA,NA,39123.3,13604.4,NA,NA,NA,NA,NA,NA,NA,NA
1879,1,NA,NA,39208.5,0,41349,16511.5,50130.3,16673,53258.9,15483.3,54049.1,19646.4
1879,2,NA,NA,39122.5,13604.4,NA,NA,NA,NA,NA,NA,NA,NA
1880,1,NA,NA,39207.7,0,41348.3,16511.5,50129.7,16673.2,53258.2,15483.4,54048.4,19646.5
1880,2,NA,NA,39121.7,13604.4,NA,NA,NA,NA,NA,NA,NA,NA
1881,1,NA,NA,39196.8,0,41337.7,16511.3,50119,16673.2,53247.3,15483.5,54037.2,19646.4
1881,2,NA,NA,39111.1,13604.3,NA,NA,NA,NA,NA,NA,NA,NA
1882,1,NA,NA,39176.4,0,41317.8,16510.9,50098.9,16673.2,53226.8,15483.4,54016.3,19646.1
1882,2,NA,NA,39091.2,13604.2,NA,NA,NA,NA,NA,NA,NA,NA
1883,1,NA,NA,39147.3,0,41289.6,16510.4,50070.1,16673,53197.2,15483.4,53986.2,19645.7
1883,2,NA,NA,39062.7,13604.1,NA,NA,NA,NA,NA,NA,NA,NA
1884,1,NA,NA,39110.2,0,41253.9,16509.8,50033.3,16672.8,53159.4,15483.2,53947.7,19645.1
1884,2,NA,NA,39026.6,13603.9,NA,NA,NA,NA,NA,NA,NA,NA
1885,1,NA,NA,39065.8,0,41211.5,16509.1,49989.2,16672.4,53113.9,15483,53901.5,19644.4
1885,2,NA,NA,38983.5,13603.6,NA,NA,NA,NA,NA,NA,NA,NA
1886,1,NA,NA,39015,0,41163,16508.2,49938.5,16672,53061.5,15482.8,53848.4,19643.6
1886,2,NA,NA,38934.1,13603.4,NA,NA,NA,NA,NA,NA,NA,NA
1887,1,NA,NA,38958.3,0,41109.3,16507.2,49881.9,16671.6,53002.8,15482.6,53789,19642.7
1887,2,NA,NA,38879.2,13603.1,NA,NA,NA,NA,NA,NA,NA,NA
1888,1,NA,NA,38896.5,0,41050.9,16506.2,49820,16671.2,52938.5,15482.3,53724.1,19641.7
1888,2,NA,NA,38819.3,13602.7,NA,NA,NA,NA,NA,NA,NA,NA
1889,1,NA,NA,38830.2,0,40988.5,16505,49753.4,16670.7,52869.1,15482,53654.1,19640.7
1889,2,NA,NA,38755,13602.4,NA,NA,NA,NA,NA,NA,NA,NA
1890,1,NA,NA,38759.8,0,40922.4,16503.8,49682.5,16670.2,52795.3,15481.8,53579.6,19639.6
1890,2,NA,NA,38686.9,13602,NA,NA,NA,NA,NA,NA,NA,NA
1891,1,NA,NA,38685.9,0,40853.3,16502.5,49608,16669.8,52717.4,15481.5,53501.3,19638.4
1891,2,NA,NA,38615.3,13601.6,NA,NA,NA,NA,NA,NA,NA,NA
1892,1,NA,NA,38608.9,0,40781.3,16501.2,49530.1,16669.5,52635.9,15481.3,53419.4,19637.3
1892,2,NA,NA,38540.9,13601.1,NA,NA,NA,NA,NA,NA,NA,NA
1893,1,NA,NA,38529.1,0,40707,16499.8,49449.4,16669.1,52551.3,15481.1,53334.5,19636
1893,2,NA,NA,38463.8,13600.7,NA,NA,NA,NA,NA,NA,NA,NA
1894,1,NA,NA,38447,0,40630.5,16498.4,49366.1,16668.9,52463.9,15480.9,53246.9,19634.8
1894,2,NA,NA,38384.4,13600.2,NA,NA,NA,NA,NA,NA,NA,NA
1895,1,NA,NA,38362.8,0,40552.2,16496.9,49280.6,16668.8,52374.1,15480.9,53156.9,19633.6
1895,2,NA,NA,38303,13599.7,NA,NA,NA,NA,NA,NA,NA,NA
1896,1,NA,NA,38276.7,0,40472.2,16495.4,49193.2,16668.8,52282.1,15480.8,53064.8,19632.4
1896,2,NA,NA,38219.8,13599.3,NA,NA,NA,NA,NA,NA,NA,NA
1897,1,NA,NA,38189,0,40390.9,16493.8,49103.9,16668.8,52188.1,15480.9,52970.6,19631.3
1897,2,NA,NA,38135.2,13598.8,NA,NA,NA,NA,NA,NA,NA,NA
1898,1,NA,NA,38100,0,40308.3,16492.2,49013.2,16669.2,52092.4,15481.1,52874.8,19630.2
1898,2,NA,NA,38049.1,13598.2,NA,NA,NA,NA,NA,NA,NA,NA
1899,1,NA,NA,38009.7,0,40224.6,16490.6,48921.2,16669.6,51995.4,15481.3,52777.7,19629.1
1899,2,NA,NA,37961.9,13597.7,NA,NA,NA,NA,NA,NA,NA,NA
1900,1,NA,NA,37918.3,0,40139.9,16489,48828.3,16670.3,51897.1,15481.8,52679.4,19628.2
1900,2,NA,NA,37873.7,13597.2,NA,NA,NA,NA,NA,NA,NA,NA
1901,1,NA,NA,37825.9,0,40054.4,16487.3,48734.4,16671.2,51797.8,15482.4,52579.9,19627.3
1901,2,NA,NA,37784.5,13596.6,NA,NA,NA,NA,NA,NA,NA,NA
1902,1,NA,NA,37732.8,0,39968.2,16485.6,48639.8,16672.4,51697.5,15483.1,52479.6,19626.5
1902,2,NA,NA,37694.6,13596.1,NA,NA,NA,NA,NA,NA,NA,NA
1903,1,NA,NA,37638.8,0,39881.2,16483.9,48544.7,16673.9,51596.5,15484.1,52378.5,19625.9
1903,2,NA,NA,37603.9,13595.5,NA,NA,NA,NA,NA,NA,NA,NA
1904,1,NA,NA,37544.3,0,39793.7,16482.2,48449,16675.8,51494.9,15485.3,52276.6,19625.4
1904,2,NA,NA,37512.6,13595,NA,NA,NA,NA,NA,NA,NA,NA
1905,1,NA,NA,37449.1,0,39705.7,16480.4,48353,16678.2,51392.8,15486.8,52174.2,19625.1
1905,2,NA,NA,37420.7,13594.4,NA,NA,NA,NA,NA,NA,NA,NA
1906,1,NA,NA,37353.4,0,39617.2,16478.6,48256.8,16681.1,51290.2,15488.6,52071.3,19625
1906,2,NA,NA,37328.4,13593.8,NA,NA,NA,NA,NA,NA,NA,NA
1907,1,NA,NA,37257.3,0,39528.2,16476.8,48160.5,16684.7,51187.4,15490.7,51968,19625.2
1907,2,NA,NA,37235.5,13593.2,NA,NA,NA,NA,NA,NA,NA,NA
1908,1,25164.7,12174.1,37160.7,0,39438.9,16475,48064.1,16689,51084.3,15493.3,51864.3,19625.6
1908,2,NA,NA,37142.3,13592.6,NA,NA,NA,NA,NA,NA,NA,NA
1909,1,25164.7,12174.1,37063.8,0,39349.2,16473.2,47967.9,16694,50981.1,15496.2,51760.4,19626.3
1909,2,NA,NA,37048.8,13592,NA,NA,NA,NA,NA,NA,NA,NA
1910,1,25164.7,12174.1,36966.5,0,39259.3,16471.4,47871.9,16699.7,50878,15499.7,51656.4,19627.4
1910,2,23541.8,0,36954.9,13591.4,NA,NA,NA,NA,NA,NA,NA,NA
1911,1,25163.8,12174.1,36868,0,39168.1,16469.5,47776.3,16706.4,50774.9,15503.7,51552.2,19628.8
1911,2,23540.9,0,36859.7,13590.8,NA,NA,NA,NA,NA,NA,NA,NA
1912,1,25162.9,12174.1,36769.3,0,39076.8,16467.6,47681.2,16714.1,50672,15508.3,51448,19630.7
1912,2,23540.1,0,36764.4,13590.2,NA,NA,NA,NA,NA,NA,NA,NA
1913,1,25162.2,12174.1,36670.4,0,38985.2,16465.7,47586.7,16723.1,50569.4,15513.5,51343.8,19633.1
1913,2,23539.4,0,36668.9,13589.5,NA,NA,NA,NA,NA,NA,NA,NA
1914,1,25161.5,12174.1,36571.3,0,38893.6,16463.8,47493,16733.6,50467.2,15519.5,51239.8,19636
1914,2,23538.8,0,36573.3,13588.9,NA,NA,NA,NA,NA,NA,NA,NA
1915,1,25161,12174,36472.1,0,38801.8,16461.9,47400.2,16745.4,50365.5,15526.3,51135.9,19639.5
1915,2,23538.2,0,36477.5,13588.3,NA,NA,NA,NA,NA,NA,NA,NA
1916,1,25160.5,12174,36372.7,0,38709.9,16459.9,47308.6,16758.3,50264.4,15533.9,51032.4,19643.7
1916,2,23537.8,0,36381.5,13587.6,NA,NA,NA,NA,NA,NA,NA,NA
1917,1,25160,12174,36278,0,38622.6,16458.1,47223,16772.6,50168.8,15542.3,50934.1,19648.5
1917,2,23537.4,0,36290.2,13587,NA,NA,NA,NA,NA,NA,NA,NA
1918,1,25159.7,12174,36057.4,0,38411.9,16453.7,47014.2,16786.6,49947.5,15550.4,50707.2,19651.4
1918,2,23537,0,36075.4,13585.6,NA,NA,NA,NA,NA,NA,NA,NA
1919,1,25159.3,12174,35953.8,0,38317.1,16451.7,46923,16805.1,49844,15560.6,50599.8,19657.5
1919,2,23536.7,0,35975.8,13584.9,NA,NA,NA,NA,NA,NA,NA,NA
1920,1,25159.1,12174,35949.5,0,38319.8,16451.5,46932,16827.1,49841.7,15572.9,50595.3,19666.4
1920,2,23536.5,0,35973.4,13584.8,NA,NA,NA,NA,NA,NA,NA,NA
1921,1,25158.8,12174,36050.2,0,38424.1,16453.5,47047.6,16852.7,49947.6,15587.3,50700.5,19678.6
1921,2,23536.3,0,36073.6,13585.4,NA,NA,NA,NA,NA,NA,NA,NA
1922,1,25158.6,12174,36087.1,0,38463.4,16454.2,47102.9,16879.9,49992.5,15602.2,50742.9,19690.4
1922,2,23536.1,0,36110.2,13585.6,NA,NA,NA,NA,NA,NA,NA,NA
1923,1,25158.5,12174,35996,0,38375.6,16452.5,47034.7,16907.6,49911.8,15616.9,50656.1,19700.5
1923,2,23535.9,0,36021.1,13585,NA,NA,NA,NA,NA,NA,NA,NA
1924,1,25158.3,12174,35908.5,0,38291.5,16450.7,46973.5,16937.4,49836.8,15632.8,50573.9,19711.6
1924,2,23535.8,0,35935.7,13584.5,NA,NA,NA,NA,NA,NA,NA,NA
1925,1,25158.2,12174,35725.3,0,38114.2,16447.1,46821,16968.5,49667.4,15648.8,50394.5,19721.6
1925,2,23535.7,0,35756.8,13583.3,NA,NA,NA,NA,NA,NA,NA,NA
1926,1,25158.1,12174,35559.5,0,37955.5,16443.7,46689.3,17002.3,49516.7,15666.3,50233.2,19732.9
1926,2,23535.6,0,35595.5,13582.2,NA,NA,NA,NA,NA,NA,NA,NA
1927,1,25158,12174,35414,0,37818,16440.7,46581.3,17038.4,49387.5,15685,50093.3,19745.6
1927,2,23535.5,0,35454.4,13581.2,NA,NA,NA,NA,NA,NA,NA,NA
1928,1,25158,12174,35174.8,0,37589.7,16435.7,46384.3,17075.8,49165.6,15703.9,49858.2,19757.3
1928,2,23535.4,0,35221.7,13579.6,NA,NA,NA,NA,NA,NA,NA,NA
1929,1,25158.8,12174,34967.7,0,37393.6,16431.4,46222.2,17117.2,48976,15724.4,49655.4,19771
1929,2,23536.3,0,35020.9,13578.2,NA,NA,NA,NA,NA,NA,NA,NA
1930,1,25156.7,12173.9,34693.2,0,37133.8,16425.6,45999,17162.6,48721.5,15746.7,49385.9,19785.3
1930,2,23534.3,0,34754.2,13576.3,NA,NA,NA,NA,NA,NA,NA,NA
1931,1,25156.8,12173.9,34490,0,36945.5,16421.2,45849.2,17216.9,48538.1,15775.1,49188.4,19805.7
1931,2,23534.4,0,34496.3,13574.8,NA,NA,NA,NA,NA,NA,NA,NA
1932,1,25156.9,12173.9,34296.7,0,36767.8,16417,45709.6,17281.3,48362.7,15813.2,48999.1,19835.8
1932,2,23534.4,0,34335.1,13573.4,NA,NA,NA,NA,NA,NA,NA,NA
1933,1,25151.5,12173.8,34003.6,0,36499.7,16410.5,45473.9,17366.7,48087.9,15863.7,48707.6,19881.1
1933,2,23529.4,0,34046.9,13571.2,NA,NA,NA,NA,NA,NA,NA,NA
1934,1,25149.1,12173.8,33711.8,0,36240.1,16404,45244.7,17496.3,47817.4,15951.4,48418.7,19955.1
1934,2,23527.1,0,33665.1,13568.8,NA,NA,NA,NA,NA,NA,NA,NA
1935,1,25148.2,12173.8,32718.9,0,35295.4,16381.2,44319.2,17684.9,46835.4,16101,47403.2,20050.6
1935,2,23526.3,0,32679,13561.2,NA,NA,NA,NA,NA,NA,NA,NA
1936,1,25125.7,12173.3,31824.1,0,34456.5,16359.4,43497.1,17970.3,45949,16338.1,46483.4,20188
1936,2,23505.3,0,31867.6,13553.7,NA,NA,NA,NA,NA,NA,NA,NA
1937,1,25063.5,12171.9,31286.6,0,33980.5,16345.7,43044.1,18365,45429.5,16666.8,45936.1,20359.7
1937,2,23447.1,0,31369.1,13548.7,NA,NA,NA,NA,NA,NA,NA,NA
1938,1,24955.7,12169.6,30269.6,0,33045.2,16318.8,42130.2,18797.3,44437.4,17035.2,44901.5,20486.7
1938,2,23346.2,0,30402.2,13539.1,NA,NA,NA,NA,NA,NA,NA,NA
1939,1,24921.8,12168.8,29092,0,31965.9,19579.1,41088.3,19081.5,43306.7,17273.8,43713.8,20451.8
1939,2,23314.6,0,29269.4,21489.4,NA,NA,NA,NA,NA,NA,NA,NA
1940,1,24897.5,10651.9,27796.3,0,30781.5,18766.1,39736.4,18883.5,41853.3,17095.3,42176.4,20080.8
1940,2,23291.8,0,27880.6,18106.9,NA,NA,NA,NA,NA,NA,NA,NA
1941,1,24539,12184,26586.5,0,29685.8,17043.9,38674.8,18081.5,40683.6,16407.7,40899.6,19322.9
1941,2,22956.4,0,26758.6,14729,NA,NA,NA,NA,NA,NA,NA,NA
1942,1,24078.6,13631.1,25908.8,0,29060.8,15070.7,38038.4,17007.6,39936.8,15471.8,40015.8,18343.6
1942,2,22525.7,0,26264.6,12738.2,NA,NA,NA,NA,NA,NA,NA,NA
1943,1,22196.8,12347.2,24404,0,27565.2,13676.8,36687.5,16178.5,38473.9,14692.7,38354.9,17480.8
1943,2,20765.3,0,24841.4,12684.9,NA,NA,NA,NA,NA,NA,NA,NA
1944,1,20526.8,9847.68,23005,0,26081.4,13465.8,35342.6,15975.3,37016.3,14398.7,36661.7,17202.8
1944,2,19203,0,23504,14400.7,NA,NA,NA,NA,NA,NA,NA,NA
1945,1,20066.7,8918.25,22493.5,0,25386.4,14491,34711.1,16095.4,36282.6,14425.7,35690.3,17703.1
1945,2,18772.6,0,22980.7,15114.5,NA,NA,NA,NA,NA,NA,NA,NA
1946,1,19847.3,9652.03,22186.8,0,24822.2,15328.5,34206.9,15451.4,35689.1,13946.2,34857.9,18384.8
1946,2,18567.3,0,22670.4,14478.2,NA,NA,NA,NA,NA,NA,NA,NA
1947,1,18777,10104.1,20561.3,0,22901.5,14700.7,32447.5,13928.7,33827.9,12640.5,32732.6,18419.3
1947,2,17566,0,20948.1,13508.5,NA,NA,NA,NA,NA,NA,NA,NA
1948,1,18362.6,9027.44,19615.5,0,21635.1,13851.8,31318.4,12610.2,32591.7,11428.5,31296.9,18239.4
1948,2,17178.4,0,19888.3,12616.5,NA,NA,NA,NA,NA,NA,NA,NA
1949,1,17376.1,8586.23,17581.9,0,19335,13067.4,28871.5,11784.7,30018.9,10703.8,28605,18034.2
